info,name,info_url,actors,directer,date,runtime
"
                                　　黑人小伙克里斯（丹尼尔·卡卢亚 Daniel Kaluuya 饰）和白人女孩露丝（艾莉森·威廉姆斯 Allison Williams 饰）相恋，虽然两人之间的感情十分要好，但克里斯一直为自己的肤色心存芥蒂。某日，两人相约前往露丝家做客，在那里，克里斯见到了露丝的父母迪恩（布莱德利·惠特福德 Bradley Whitford 饰）和米西（凯瑟琳·基纳 Catherine Keener 饰），除了露丝的弟弟吉瑞米（卡莱伯·兰德里·琼斯 Caleb Landry Jones 饰）对克里斯展现出了一丝敌意外，一切都堪称完美。
                                    ,
                                　　隔日，克里斯参加了露丝家举办的派对，在派对中，克里斯遇见了旧友安德鲁（凯斯·斯坦菲尔德 Keith Stanfield 饰），让克里斯百思不得其解的是，安德鲁的穿着、谈吐和举止和先前大相径庭，判若两人。种种诡异的蛛丝马迹让克里斯渐渐察觉，自己似乎陷入了一个阴谋之中。
                        ",逃出绝命镇,https://movie.douban.com/subject/26688480/,,乔丹·皮尔,2017-02-24(美国),104分钟
"
                                　　故事发生在2029年，彼时，X战警早已经解散，作为为数不多的仅存的变种人，金刚狼罗根（休·杰克曼 Hugh Jackman 饰）和卡利班（斯戴芬·莫昌特 Stephen Merchant 饰）照顾着年迈的X教授（帕特里克·斯图尔特 Patrick Stewart 饰），由于衰老，X教授已经丧失了对于自己超能力的控制，如果不依赖药物，他的超能力就会失控，在全球范围内制造无法挽回的灾难。不仅如此，金刚狼的自愈能力亦随着时间的流逝逐渐减弱，体能和力量都早已经大不如从前。
                                    ,
                                　　某日，一位陌生女子找到了金刚狼，将一个名为劳拉（达芙妮·基恩 Dafne Keen 饰）的女孩托付给他，嘱咐他将劳拉送往位于加拿大边境的“伊甸园”。让罗根没有想到的是，劳拉竟然是被植入了自己的基因而培养出的人造变种人，而在传说中的伊甸园里，有着一群和劳拉境遇相似的孩子。邪恶的唐纳德（波伊德·霍布鲁克 Boyd Holbrook 饰）紧紧的追踪着罗根一行人的踪迹，他的目标只有一个，就是将那群人造变种人彻底毁灭。
                        ",金刚狼3：殊死一战,https://movie.douban.com/subject/25765735/,,詹姆斯·曼高德,2017-02-17(柏林电影节),片长:
,看不见的客人,https://movie.douban.com/subject/26580232/,,奥里奥尔·保罗,2017-01-06(西班牙),106分钟
,一条狗的使命,https://movie.douban.com/subject/6873143/,,拉斯·霍尔斯道姆,2017-03-03(中国大陆),片长:
,天才少女,https://movie.douban.com/subject/26593587/,,马克·韦布,101,IMDb链接:
,怒,https://movie.douban.com/subject/26279289/,,李相日,,2016-09-17(日本)
,肌肤,https://movie.douban.com/subject/26964434/,,爱德华多·卡萨诺瓦,77,IMDb链接:
,攻壳机动队,https://movie.douban.com/subject/25818101/,,鲁伯特·桑德斯,2017-03-29(法国),片长:
,杰出公民,https://movie.douban.com/subject/26844922/,,"加斯顿·杜帕拉特,马里亚诺·寇恩",2016-11-11(西班牙),118分钟
,独自在夜晚的海边,https://movie.douban.com/subject/26718282/,,洪尚秀,101,IMDb链接:
